Date,DEXUSEU
5/7/2018,1.1927
5/8/2018,1.1863
5/9/2018,1.1852
5/10/2018,1.1896
5/11/2018,1.1951
5/14/2018,1.1976
5/15/2018,1.1864
5/16/2018,1.1788
5/17/2018,1.1798
5/18/2018,1.1775
5/21/2018,1.1768
5/22/2018,1.1783
5/23/2018,1.1693
5/24/2018,1.1729
5/25/2018,1.1666
5/28/2018,1.1666
5/29/2018,1.1551
5/30/2018,1.1664
5/31/2018,1.167
6/1/2018,1.1679
6/4/2018,1.1696
6/5/2018,1.1672
6/6/2018,1.1778
6/7/2018,1.1815
6/8/2018,1.1773
6/11/2018,1.1802
6/12/2018,1.1792
6/13/2018,1.1784
6/14/2018,1.1634
6/15/2018,1.1616
6/18/2018,1.1606
6/19/2018,1.1577
6/20/2018,1.1592
6/21/2018,1.16
6/22/2018,1.163
6/25/2018,1.1694
6/26/2018,1.1675
6/27/2018,1.1588
6/28/2018,1.1582
6/29/2018,1.1677
7/2/2018,1.1604
7/3/2018,1.1653
7/4/2018,1.1653
7/5/2018,1.1697
7/6/2018,1.1738
7/9/2018,1.1744
7/10/2018,1.1728
7/11/2018,1.1722
7/12/2018,1.1692
7/13/2018,1.1667
7/16/2018,1.171
7/17/2018,1.1664
7/18/2018,1.1645
7/19/2018,1.1604
7/20/2018,1.1708
7/23/2018,1.1702
7/24/2018,1.1684
7/25/2018,1.1677
7/26/2018,1.1654
7/27/2018,1.166
7/30/2018,1.1718
7/31/2018,1.1706
8/1/2018,1.1666
8/2/2018,1.1612
8/3/2018,1.1597
8/6/2018,1.1564
8/7/2018,1.1597
8/8/2018,1.1598
8/9/2018,1.1566
8/10/2018,1.1399
8/13/2018,1.1396
8/14/2018,1.1351
8/15/2018,1.1332
8/16/2018,1.1388
8/17/2018,1.141
8/20/2018,1.1438
8/21/2018,1.1534
8/22/2018,1.1595
8/23/2018,1.1567
8/24/2018,1.1625
8/27/2018,1.1676
8/28/2018,1.172
8/29/2018,1.1699
8/30/2018,1.1646
8/31/2018,1.1596
9/3/2018,1.1596
9/4/2018,1.1566
9/5/2018,1.162
9/6/2018,1.1624
9/7/2018,1.1572
9/10/2018,1.1604
9/11/2018,1.1591
9/12/2018,1.1626
9/13/2018,1.1672
9/14/2018,1.1656
9/17/2018,1.1687
9/18/2018,1.1693
9/19/2018,1.1685
9/20/2018,1.1744
9/21/2018,1.1739
9/24/2018,1.1773
9/25/2018,1.177
9/26/2018,1.1758
9/27/2018,1.167
9/28/2018,1.1622
10/1/2018,1.1567
10/2/2018,1.156
10/3/2018,1.1525
10/4/2018,1.1508
10/5/2018,1.1502
10/8/2018,1.1502
10/9/2018,1.1482
10/10/2018,1.1541
10/11/2018,1.1565
10/12/2018,1.1559
10/15/2018,1.1594
10/16/2018,1.1593
10/17/2018,1.154
10/18/2018,1.1494
10/19/2018,1.1513
10/22/2018,1.1467
10/23/2018,1.148
10/24/2018,1.1389
10/25/2018,1.1374
10/26/2018,1.1388
10/29/2018,1.139
10/30/2018,1.1364
10/31/2018,1.1332
11/1/2018,1.1396
11/2/2018,1.1378
11/5/2018,1.1394
11/6/2018,1.1412
11/7/2018,1.1459
11/8/2018,1.1416
11/9/2018,1.1325
11/12/2018,1.1325
11/13/2018,1.1288
11/14/2018,1.1312
11/15/2018,1.1324
11/16/2018,1.1402
11/19/2018,1.1448
11/20/2018,1.1391
11/21/2018,1.1393
11/22/2018,1.1393
11/23/2018,1.1332
11/26/2018,1.1336
11/27/2018,1.1281
11/28/2018,1.1286
11/29/2018,1.1382
11/30/2018,1.1323
12/3/2018,1.1356
12/4/2018,1.1345
12/5/2018,1.1345
12/6/2018,1.1374
12/7/2018,1.139
12/10/2018,1.1368
12/11/2018,1.1314
12/12/2018,1.1362
12/13/2018,1.1358
12/14/2018,1.13
12/17/2018,1.1339
12/18/2018,1.1364
12/19/2018,1.1422
12/20/2018,1.1432
12/21/2018,1.1402
12/24/2018,1.1402
12/25/2018,1.1408
12/26/2018,1.1408
12/27/2018,1.1412
12/28/2018,1.1445
12/31/2018,1.1456
1/1/2019,1.1456
1/2/2019,1.1357
1/3/2019,1.1399
1/4/2019,1.141
1/7/2019,1.1468
1/8/2019,1.1444
1/9/2019,1.1524
1/10/2019,1.1517
1/11/2019,1.1479
1/14/2019,1.1479
1/15/2019,1.1392
1/16/2019,1.1408
1/17/2019,1.1386
1/18/2019,1.1362
1/21/2019,1.1359
1/22/2019,1.1359
1/23/2019,1.139
1/24/2019,1.1322
1/25/2019,1.1407
1/28/2019,1.1438
1/29/2019,1.1424
1/30/2019,1.1418
1/31/2019,1.1454
2/1/2019,1.1474
2/4/2019,1.1438
2/5/2019,1.1406
2/6/2019,1.138
2/7/2019,1.1357
2/8/2019,1.1326
2/11/2019,1.1277
2/12/2019,1.1316
2/13/2019,1.1288
2/14/2019,1.1284
2/15/2019,1.1268
2/18/2019,1.1268
2/19/2019,1.1328
2/20/2019,1.1328
2/21/2019,1.1338
2/22/2019,1.1342
2/25/2019,1.1345
2/26/2019,1.1374
2/27/2019,1.137
2/28/2019,1.1379
3/1/2019,1.1376
3/4/2019,1.1328
3/5/2019,1.13
3/6/2019,1.132
3/7/2019,1.1214
3/8/2019,1.1243
3/11/2019,1.1226
3/12/2019,1.1276
3/13/2019,1.131
3/14/2019,1.1304
3/15/2019,1.1326
3/18/2019,1.1337
3/19/2019,1.1346
3/20/2019,1.1352
3/21/2019,1.1361
3/22/2019,1.1282
3/25/2019,1.1324
3/26/2019,1.128
3/27/2019,1.125
3/28/2019,1.1236
3/29/2019,1.1228
4/1/2019,1.121
4/2/2019,1.1186
4/3/2019,1.1242
4/4/2019,1.1216
4/5/2019,1.1217
4/8/2019,1.1262
4/9/2019,1.1278
4/10/2019,1.1266
4/11/2019,1.1262
4/12/2019,1.1304
4/15/2019,1.1304
4/16/2019,1.1293
4/17/2019,1.1297
4/18/2019,1.1241
4/19/2019,1.1246
4/22/2019,1.1258
4/23/2019,1.1213
4/24/2019,1.1192
4/25/2019,1.114
4/26/2019,1.1154
4/29/2019,1.1166
4/30/2019,1.1201
5/1/2019,1.1246
5/2/2019,1.1184
5/3/2019,1.1186
5/6/2019,1.1197
5/7/2019,1.1178
5/8/2019,1.1206
5/9/2019,1.1228
5/10/2019,1.1241
5/13/2019,1.1232
5/14/2019,1.1207
5/15/2019,1.1208
5/16/2019,1.1178
5/17/2019,1.1166
5/20/2019,1.117
5/21/2019,1.1158
5/22/2019,1.1156
5/23/2019,1.1172
5/24/2019,1.1197
5/27/2019,1.1197
5/28/2019,1.1177
5/29/2019,1.1136
5/30/2019,1.114
5/31/2019,1.1149
6/3/2019,1.1206
6/4/2019,1.1236
6/5/2019,1.1242
6/6/2019,1.1294
6/7/2019,1.1324
6/10/2019,1.1311
6/11/2019,1.1316
6/12/2019,1.131
6/13/2019,1.1275
6/14/2019,1.1217
6/17/2019,1.1235
6/18/2019,1.1196
6/19/2019,1.1214
6/20/2019,1.1284
6/21/2019,1.1328
6/24/2019,1.1393
6/25/2019,1.1386
6/26/2019,1.139
6/27/2019,1.1372
6/28/2019,1.1374
7/1/2019,1.1307
7/2/2019,1.1301
7/3/2019,1.1275
7/4/2019,1.1275
7/5/2019,1.1216
7/8/2019,1.1208
7/9/2019,1.121
7/10/2019,1.126
7/11/2019,1.1261
7/12/2019,1.1254
7/15/2019,1.126
7/16/2019,1.1212
7/17/2019,1.1232
7/18/2019,1.1228
7/19/2019,1.122
7/22/2019,1.1214
7/23/2019,1.1156
7/24/2019,1.1141
7/25/2019,1.1156
7/26/2019,1.1121
7/29/2019,1.1142
7/30/2019,1.1148
7/31/2019,1.113
8/1/2019,1.1062
8/2/2019,1.1112
8/5/2019,1.1197
8/6/2019,1.1196
8/7/2019,1.1236
8/8/2019,1.121
8/9/2019,1.1222
8/12/2019,1.1212
8/13/2019,1.1182
8/14/2019,1.1144
8/15/2019,1.1106
8/16/2019,1.1091
8/19/2019,1.1096
8/20/2019,1.1092
8/21/2019,1.1098
8/22/2019,1.1089
8/23/2019,1.1148
8/26/2019,1.1112
8/27/2019,1.1094
8/28/2019,1.1084
8/29/2019,1.1059
8/30/2019,1.0989
9/2/2019,1.0989
9/3/2019,1.0968
9/4/2019,1.1025
9/5/2019,1.1038
9/6/2019,1.1042
9/9/2019,1.1056
9/10/2019,1.1042
9/11/2019,1.1001
9/12/2019,1.1074
9/13/2019,1.1074
9/16/2019,1.1006
9/17/2019,1.1063
9/18/2019,1.1061
9/19/2019,1.1046
9/20/2019,1.1004
9/23/2019,1.0991
9/24/2019,1.0999
9/25/2019,1.0949
9/26/2019,1.0938
9/27/2019,1.0942
9/30/2019,1.0905
10/1/2019,1.0932
10/2/2019,1.0951
10/3/2019,1.0991
10/4/2019,1.0974
10/7/2019,1.0984
10/8/2019,1.0949
10/9/2019,1.0978
10/10/2019,1.1018
10/11/2019,1.1039
10/14/2019,1.1039
10/15/2019,1.1036
10/16/2019,1.1075
10/17/2019,1.1129
10/18/2019,1.1155
10/21/2019,1.1145
10/22/2019,1.1138
10/23/2019,1.1118
10/24/2019,1.1098
10/25/2019,1.1081
10/28/2019,1.1094
10/29/2019,1.1117
10/30/2019,1.1123
10/31/2019,1.1155
11/1/2019,1.1169
11/4/2019,1.1144
11/5/2019,1.107
11/6/2019,1.1076
11/7/2019,1.1045
11/8/2019,1.1019
11/11/2019,1.1019
11/12/2019,1.1017
11/13/2019,1.1004
11/14/2019,1.1016
11/15/2019,1.1046
11/18/2019,1.1079
11/19/2019,1.1075
11/20/2019,1.1063
11/21/2019,1.1067
11/22/2019,1.1029
11/25/2019,1.1009
11/26/2019,1.1012
11/27/2019,1.1002
11/28/2019,1.1002
11/29/2019,1.1019
12/2/2019,1.1075
12/3/2019,1.1089
12/4/2019,1.1076
12/5/2019,1.1104
12/6/2019,1.1052
12/9/2019,1.1067
12/10/2019,1.109
